gender,NationalITy,StageID,GradeID,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion
M,KW,lowerlevel,G-04,F,Father,15,16,2,20
M,KW,lowerlevel,G-04,F,Father,20,20,3,25
M,KW,lowerlevel,G-04,F,Father,10,7,0,30
M,KW,lowerlevel,G-04,F,Father,30,25,5,35
M,KW,lowerlevel,G-04,F,Father,40,50,12,50
F,KW,lowerlevel,G-04,F,Father,42,30,13,70
M,KW,MiddleSchool,G-07,F,Father,35,12,0,17
M,KW,MiddleSchool,G-07,F,Father,50,10,15,22
F,KW,MiddleSchool,G-07,F,Father,12,21,16,50
F,KW,MiddleSchool,G-07,F,Father,70,80,25,70
M,KW,MiddleSchool,G-07,F,Father,50,88,30,80
M,KW,MiddleSchool,G-07,F,Father,19,6,19,12
M,KW,lowerlevel,G-04,F,Father,5,1,0,11
M,lebanon,MiddleSchool,G-08,F,Father,20,14,12,19
F,KW,MiddleSchool,G-08,F,Mum,62,70,44,60
F,KW,MiddleSchool,G-06,F,Father,30,40,22,66
M,KW,MiddleSchool,G-07,F,Father,36,30,20,80
M,KW,MiddleSchool,G-07,F,Father,55,13,35,90
F,KW,MiddleSchool,G-07,F,Mum,69,15,36,96
M,KW,MiddleSchool,G-07,F,Mum,70,50,40,99
F,KW,MiddleSchool,G-07,F,Father,60,60,33,90
F,KW,MiddleSchool,G-07,F,Father,10,12,4,80
M,KW,MiddleSchool,G-07,F,Father,15,21,2,90
M,KW,MiddleSchool,G-07,F,Father,2,0,2,50
M,KW,MiddleSchool,G-07,F,Father,0,2,3,70
M,KW,MiddleSchool,G-07,F,Father,8,7,30,40
M,KW,MiddleSchool,G-07,F,Father,19,19,25,40
M,KW,MiddleSchool,G-08,F,Father,25,15,12,33
M,KW,MiddleSchool,G-08,F,Father,75,85,52,43
F,KW,MiddleSchool,G-08,F,Father,30,90,33,35
F,KW,MiddleSchool,G-08,F,Father,35,80,50,70
M,KW,MiddleSchool,G-07,F,Father,4,5,40,16
F,KW,lowerlevel,G-07,F,Father,2,19,10,50
M,KW,lowerlevel,G-05,F,Father,8,22,9,40
M,KW,MiddleSchool,G-07,F,Father,12,11,8,40
M,KW,MiddleSchool,G-07,F,Father,10,12,17,30
M,KW,MiddleSchool,G-07,F,Mum,8,6,4,22
F,Egypt,MiddleSchool,G-07,F,Father,45,54,26,90
M,KW,MiddleSchool,G-06,F,Father,0,0,0,4
F,SaudiArabia,MiddleSchool,G-07,F,Father,50,90,37,70
F,KW,MiddleSchool,G-07,F,Father,14,13,3,70
M,KW,MiddleSchool,G-07,F,Father,19,20,16,50
M,KW,HighSchool,G-09,F,Father,10,12,7,33
F,KW,HighSchool,G-09,F,Father,30,35,28,90
F,KW,HighSchool,G-09,F,Father,33,33,30,90
M,KW,MiddleSchool,G-07,F,Father,20,12,15,70
M,KW,lowerlevel,G-05,F,Father,7,10,1,30
F,KW,HighSchool,G-12,F,Mum,70,4,39,90
F,KW,HighSchool,G-12,F,Mum,13,80,40,88
F,KW,HighSchool,G-12,F,Father,29,39,50,77
F,KW,HighSchool,G-12,F,Father,20,14,12,70
M,KW,HighSchool,G-12,F,Father,39,15,16,50
F,KW,HighSchool,G-12,F,Father,55,90,16,40
F,KW,HighSchool,G-11,F,Mum,49,70,19,75
M,KW,HighSchool,G-12,F,Mum,12,50,8,30
M,KW,MiddleSchool,G-07,F,Father,16,14,6,20
M,USA,MiddleSchool,G-08,F,Father,19,5,4,1
M,KW,MiddleSchool,G-07,F,Father,5,2,6,5
M,KW,MiddleSchool,G-07,F,Father,28,60,19,50
F,USA,MiddleSchool,G-07,F,Father,27,22,22,40
F,Jordan,lowerlevel,G-05,F,Mum,21,10,28,20
